internal,function,mnemonic,b0,b1,ex,steps,enc_addr,ui_addr,form_key,operand_modes,status
1,F-01,MCS,1,112,0,1,004BAA2C,0041335A,F-01,-,reverse-engineered
2,F-02,MCR,2,112,0,1,004BAA50,00413391,F-02,-,reverse-engineered
3,F-03,JCS,3,112,0,1,004BAA74,004133C8,F-03,-,reverse-engineered
4,F-04,JCR,4,112,0,1,004BAA98,004133FF,F-04,-,reverse-engineered
5,F-05,-|^|-,5,112,0,1,004BAABC,00413436,F-05,-,reverse-engineered
6,F-06,-|v|-,6,112,0,1,004BAAE0,0041346D,F-06,-,reverse-engineered
7,F-07,SKIP,7,112,0,1,004BAB04,004134A4,F-07,-,reverse-engineered
8,F-08,ENDS,8,112,0,1,004BAB28,004134DB,F-08,-,reverse-engineered
9,F-09,SWAP,9,113,0,2,004BAB4C,00413512,F-09,normal,reverse-engineered
10,F-10,SFR,10,113,0,2,004BAB9E,00413580,F-10,normal,reverse-engineered
11,F-11,XFER,11,114,0,3,004BABF0,004135EE,F-11,normal|normal,reverse-engineered
12,F-12,BCD,12,114,0,3,004BAC70,00413693,F-12,normal|normal,reverse-engineered
13,F-13,ADD,13,115,0,4,004BACF0,00413738,F-13,normal|normal|normal,reverse-engineered
14,F-14,SUB,14,115,0,4,004BAD70,004137DD,F-14,normal|normal|normal,reverse-engineered
15,F-15,CMP,15,114,0,3,004BADF0,00413882,F-15,normal|normal,reverse-engineered
17,F-17,BIN,17,114,0,3,004BAE9E,0041395E,F-17,normal|normal,reverse-engineered
20,F-20,ANL,20,114,0,3,004BAFD6,00413ADF,F-20,normal|normal,reverse-engineered
21,F-21,ORL,21,114,0,3,004BB028,00413B4D,F-21,normal|normal,reverse-engineered
22,F-22,XRL,22,114,0,3,004BB07A,00413BBB,F-22,normal|normal,reverse-engineered
23,F-23,SET,23,113,0,2,004BB0CC,00413C29,F-23,bit,reverse-engineered
24,F-24,RST,24,113,0,2,004BB0F7,00413C60,F-24,bit,reverse-engineered
27,F-27,BITS,27,114,0,3,004BB17E,00413D05,F-27,normal|normal,reverse-engineered
34,F-34,SCLK,34,112,0,1,004BB2FE,00413F62,F-34,-,reverse-engineered
39,F-39,DCOD,39,115,0,4,004BB322,00413F99,F-39,normal|normal|normal,reverse-engineered
40,F-40,ECOD,40,115,0,4,004BB346,00413FD0,F-40,normal|normal|normal,reverse-engineered
41,F-41,INV,41,112,0,1,004BB36A,00414007,F-41,-,reverse-engineered
45,F-45,RET,45,112,0,1,004BB4D7,00414124,F-45,-,reverse-engineered
46,F-46,FOR,46,113,0,2,004BB4FB,0041415B,F-46,normal,reverse-engineered
47,F-47,NEXT,47,112,0,1,004BB51F,00414192,F-47,-,reverse-engineered
48,F-48,IORF,48,113,0,2,004BB543,004141C9,F-48,normal,reverse-engineered
49,F-49,IORB,49,113,0,2,004BB567,00414200,F-49,bit,reverse-engineered
51,F-51,ZRST,51,114,0,3,004BB5CE,0041426E,F-51,bit|normal,reverse-engineered
52,F-52,TENK,52,115,0,4,004BB62E,004142DC,F-52,normal|bit|bit,reverse-engineered
53,F-53,HEXK,53,115,0,4,004BB660,00414313,F-53,normal|bit|bit,reverse-engineered
54,F-54,MTRX,54,115,0,4,004BB692,0041434A,F-54,normal|normal|normal,reverse-engineered
55,F-55,DSW,55,115,0,4,004BB712,004143EF,F-55,normal|normal|normal,reverse-engineered
56,F-56,SEGO,56,115,0,4,004BB76E,0041445D,F-56,normal|normal|normal,reverse-engineered
58,F-58,RXD,58,115,0,4,004BB7C0,004144CB,F-58,normal|normal|normal,reverse-engineered
59,F-59,TXD,59,115,0,4,004BB7E4,00414502,F-59,normal|normal|normal,reverse-engineered
60,F-60,TSET,60,115,0,4,004BB808,00414539,F-60,bit|normal|normal,reverse-engineered
61,F-61,TRST,61,115,0,4,004BB83A,00414570,F-61,bit|normal|normal,reverse-engineered
62,F-62,ASCI,62,115,0,4,004BB86C,004145A7,F-62,normal|normal|normal,reverse-engineered
63,F-63,HEX,63,115,0,4,004BB890,004145DE,F-63,normal|normal|normal,reverse-engineered
133,F-33,TEXT,33,113,0,2,004BB25A,00413E86,F-33:2,normal,multiple-PC12-forms
330,F-33,TEXT,33,114,0,3,004BB2AC,00413EF4,F-33:3,normal|normal,multiple-PC12-forms
509,F-09w,SWAP,9,117,0,2,004BAB70,00413549,F-09w,normal,reverse-engineered
510,F-10w,SFR,10,117,0,2,004BABC2,004135B7,F-10w,normal,reverse-engineered
511,F-11w,XFER,11,118,0,3,004BAC14,00413625,F-11w,normal|normal,reverse-engineered
512,F-12w,BCD,12,118,0,3,004BAC94,004136CA,F-12w,normal|normal,reverse-engineered
513,F-13w,ADD,13,119,0,4,004BAD14,0041376F,F-13w,normal|normal|normal,reverse-engineered
514,F-14w,SUB,14,119,0,4,004BAD94,00413814,F-14w,normal|normal|normal,reverse-engineered
515,F-15w,CMP,15,118,0,3,004BAE14,004138B9,F-15w,normal|normal,reverse-engineered
516,F-16w,CNT,16,118,0,3,004BAE70,00413927,F-16w,normal|normal,reverse-engineered
517,F-17w,BIN,17,118,0,3,004BAEC2,00413995,F-17w,normal|normal,reverse-engineered
518,F-18w,MUL,18,119,0,4,004BAF1E,00413A03,F-18w,normal|normal|normal,reverse-engineered
519,F-19w,DIV,19,119,0,4,004BAF7A,00413A71,F-19w,normal|normal|normal,reverse-engineered
520,F-20w,ANL,20,118,0,3,004BAFFA,00413B16,F-20w,normal|normal,reverse-engineered
521,F-21w,ORL,21,118,0,3,004BB04C,00413B84,F-21w,normal|normal,reverse-engineered
522,F-22w,XRL,22,118,0,3,004BB09E,00413BF2,F-22w,normal|normal,reverse-engineered
525,F-25w,INC,25,117,0,2,004BB122,00413C97,F-25w,normal,reverse-engineered
526,F-26w,DEC,26,117,0,2,004BB150,00413CCE,F-26w,normal,reverse-engineered
527,F-27w,BITS,27,118,0,3,004BB1A2,00413D3C,F-27w,normal|normal,reverse-engineered
530,F-30w,IDXT,30,118,0,3,004BB1D0,00413DE1,F-30w,normal|normal,reverse-engineered
531,F-31w,IDXF,31,118,0,3,004BB1FE,00413E18,F-31w,normal|normal,reverse-engineered
532,F-32w,nTRF,32,119,0,4,004BB22C,00413E4F,F-32w,normal|normal|normal,reverse-engineered
542,F-42,LB%03d,42,120,0,1,004BB38E,0041403E,F-42,label-embedded,reverse-engineered-special
543,F-43,JMP,43,113,0,2,004BB43F,004140A8,F-43,label-word,reverse-engineered-special
544,F-44,CALL,44,113,0,2,004BB48B,004140E6,F-44,label-word,reverse-engineered-special
550,F-50w,STMR,50,119,0,4,004BB592,00414237,F-50w,bit|normal|normal,reverse-engineered
551,F-51w,ZRST,51,118,0,3,004BB600,004142A5,F-51w,normal|normal,reverse-engineered
554,F-54w,MTRX,54,119,0,4,004BB6B6,00414381,F-54w,normal|normal|normal,reverse-engineered
555,F-55w,DSW,55,119,0,4,004BB740,00414426,F-55w,normal|normal|normal,reverse-engineered
557,F-57w,BCMP,57,119,0,4,004BB792,00414494,F-57w,normal|normal|normal,reverse-engineered
564,F-64w,RTD,64,119,0,4,004BB8B4,00414615,F-64w,normal|normal|normal,reverse-engineered
565,F-65w,TMJ,65,119,0,4,004BB8D8,0041464C,F-65w,normal|normal|normal,reverse-engineered
566,F-66w,TMK,66,119,0,4,004BB8FC,00414683,F-66w,normal|normal|normal,reverse-engineered
567,F-67w,TMT,67,119,0,4,004BB91D,004146BA,F-67w,normal|normal|normal,reverse-engineered
568,F-68w,PID,68,119,0,4,004BB93E,004146EE,F-68w,normal|normal|normal,reverse-engineered
571,F-71w,INVC,71,119,0,4,004BB95F,00414722,F-71w,normal|normal|normal,reverse-engineered
633,F-33w,TEXT,33,117,0,2,004BB27E,00413EBD,F-33w:2,normal,multiple-PC12-forms
1000,F-00,End,0,112,0,1,004BAA08,00413323,F-00,-,reverse-engineered
1011,F-11d,XFER,11,242,0,3,004BAC42,0041365C,F-11d,normal|normal,reverse-engineered
1012,F-12d,BCD,12,242,0,3,004BACC2,00413701,F-12d,normal|normal,reverse-engineered
1013,F-13d,ADD,13,243,0,4,004BAD42,004137A6,F-13d,normal|normal|normal,reverse-engineered
1014,F-14d,SUB,14,243,0,4,004BADC2,0041384B,F-14d,normal|normal|normal,reverse-engineered
1015,F-15d,CMP,15,242,0,3,004BAE42,004138F0,F-15d,normal|normal,reverse-engineered
1017,F-17d,BIN,17,242,0,3,004BAEF0,004139CC,F-17d,normal|normal,reverse-engineered
1018,F-18d,MUL,18,243,0,4,004BAF4C,00413A3A,F-18d,normal|normal|normal,reverse-engineered
1019,F-19d,DIV,19,243,0,4,004BAFA8,00413AA8,F-19d,normal|normal|normal,reverse-engineered
1054,F-54d,MTRX,54,243,0,4,004BB6E4,004143B8,F-54d,normal|normal|normal,reverse-engineered
5330,F-33w,TEXT,33,118,0,3,004BB2D0,00413F2B,F-33w:3,normal|normal,multiple-PC12-forms
