rung	step	instruction	device	address	HIGH	LOW	BRAW	nibble_sum_ok
1	0	STR	X	0001	00	10	01	YES
1	1	OUT	Y	0001	20	40	06	YES
2	2	STR NOT	X	0002	00	19	0A	YES
2	3	OUT	Y	0002	20	41	07	YES
3	4	STR	X	0009	01	10	02	YES
3	5	AND	X	0002	00	21	03	YES
3	6	OUT	Y	0003	20	42	08	YES
4	7	STR	X	0009	01	10	02	YES
4	8	AND NOT	X	0002	00	29	0B	YES
4	9	OUT	Y	0004	20	43	09	YES
5	10	STR	X	0009	01	10	02	YES
5	11	OR	X	0002	00	31	04	YES
5	12	OUT	Y	0005	20	44	0A	YES
6	13	STR	X	0009	01	10	02	YES
6	14	OR NOT	X	0002	00	39	0C	YES
6	15	OUT	Y	0006	20	45	0B	YES
7	16	STR	X	0008	00	17	08	YES
7	17	OUT	Y	0007	20	46	0C	YES
8	18	STR	X	0009	01	10	02	YES
8	19	OUT	Y	0008	20	47	0D	YES
9	20	STR	X	0016	01	17	09	YES
9	21	OUT	Y	0009	21	40	07	YES
10	22	STR	X	0017	02	10	03	YES
10	23	OUT	Y	0010	21	41	08	YES
11	24	STR	X	0018	02	11	04	YES
11	25	OUT	Y	0011	21	42	09	YES
