step	high	low	braw	decode	source
0	00	10	01	STR X0001	TP02-PG-Lab-20260910-183546.txt
1	00	60	06	TMR V0001	TP02-PG-Lab-20260910-183546.txt
2	87	68	0D	K1000	TP02-PG-Lab-20260910-183546.txt
3	40	40	08	OUT C0001	TP02-PG-Lab-20260910-183546.txt
4	00	11	02	STR X0002	TP02-PG-Lab-20260910-183546.txt
5	00	12	03	STR X0003 (reset CNT)	TP02-PG-Lab-20260910-183546.txt
6	01	68	0F	CNT V0002	TP02-PG-Lab-20260910-183546.txt
7	80	0A	02	K10	TP02-PG-Lab-20260910-183546.txt
8	40	41	09	OUT C0002	TP02-PG-Lab-20260910-183546.txt
9	00	13	04	STR X0004	TP02-PG-Lab-20260910-183546.txt
10	17	71	00	F-23 SET	TP02-PG-Lab-20260910-183546.txt
11	C8	80	0C	ARG Y0001	TP02-PG-Lab-20260910-183546.txt
12	00	14	05	STR X0005	TP02-PG-Lab-20260910-183546.txt
13	18	71	01	F-24 RST	TP02-PG-Lab-20260910-183546.txt
14	C8	80	0C	ARG Y0001	TP02-PG-Lab-20260910-183546.txt
15	00	15	06	STR X0006	TP02-PG-Lab-20260910-183546.txt
16	0D	77	0B	F-13w ADD	TP02-PG-Lab-20260910-183546.txt
17	F0	01	00	ARG D0002	TP02-PG-Lab-20260910-183546.txt
18	F0	00	0F	ARG D0001	TP02-PG-Lab-20260910-183546.txt
19	80	0A	02	K10	TP02-PG-Lab-20260910-183546.txt
20	00	16	07	STR X0007	TP02-PG-Lab-20260910-183546.txt
21	20	41	07	OUT Y0002	TP02-PG-Lab-20260910-183546.txt
22	00	70	07	F-00 END	TP02-PG-Lab-20260910-183546.txt
